domain,ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,10000000,1,0,18,107.611111,107.277778,0,0,0,0,0.8,0.795729,1
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,10000000,0,0,11,150.636364,152.272727,0,0,0,0,0,0.768577,1
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,10000000,0,0,14,73.5,72.642857,0,0,0,0,0,0.726582,1
mail.printakid.com/www.online.americanexpress.com/index.html,10000000,0,0,6,562,590.666667,0,0,0,0,0,0.85964,1
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,10000000,0,0,8,29,24.125,0,0,0,0,0,0.748971,1
smilesvoegol.servebbs.org/voegol.php,10000000,0,0,2,223.5,234,0,0,0,0,0,0.852227,1
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,10000000,0,0,4,119,121.5,0,0,0,0,0,0.853565,1
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,10000000,0,0,4,160.5,157.25,0,0,0,0,0,0.777622,1
super1000.info/docs,10000000,0,0,1,21,13,0,0,0,0,0,0.36,1
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,10000000,0,0,16,142.375,142.5,0,0,0,0,0,0.803006,1
phlebolog.com.ua/libraries/joomla/results.php,10000000,0,0,4,183.25,196.5,0,0,0,0,0,0.843447,1
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,1,1,1,6,71.166667,78.666667,0.028235,0.032239,0.027365,0.031432,0.886969,0.696226,1
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,10000000,0,0,5,22.6,19,0,0,0,0,0,0.733333,1
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,10000000,0,0,5,120,124.6,0,0,0,0,0,0.833583,1
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,10000000,0,0,6,50.333333,45,0,0,0,0,0,0.707463,1
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,10000000,0,0,5,162.2,165.6,0,0,0,0,0,0.843645,1
anonymeidentity.net/remax./remax.htm,10000000,0,0,2,34,18.5,0,0,0,0,0,0.381579,1
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,10000000,0,0,6,72.5,70.166667,0,0,0,0,0,0.798319,1
www.avedeoiro.com/site/plugins/chase/,10000000,0,0,3,94.333333,81,0,0,0,0,0,0.64375,1
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,10000000,0,0,7,147.857143,150.571429,0,0,0,0,0,0.703915,1
www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,10000000,0,0,6,141.166667,140.833333,0,0,0,0,0,0.790476,1
optimistic-pessimism.com/aoluserupdatealert.info.htm,10000000,0,0,6,64.333333,51.666667,0,0,0,0,0,0.611111,1
mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,10000000,0,0,4,50,43,0,0,0,0,0,0.61039,1
www.everythinggoingon.net/~gpeveryt/home/Email/,10000000,0,0,3,429,431.333333,0,0,0,0,0,0.798606,1
mercadolivre.com.br.premiosfidelidade2012.com.br/,10000000,0,0,3,63.666667,54.666667,0,0,0,0,0,0.591928,1
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,10000000,0,0,10,138.3,143.9,0,0,0,0,0,0.744129,1
jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,10000000,0,0,7,189.142857,196.428571,0,0,0,0,0,0.812626,1
xini.eu/00Qe,10000000,1,0,0,0,0,0,0,0,0,0.25,0,1
myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,10000000,0,0,4,160.5,157.25,0,0,0,0,0,0.777622,1
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/,10000000,0,0,13,173.230769,176.076923,0,0,0,0,0,0.781483,1
ebayisapidlld.altervista.org/,602,1,1,0,0,0,0,0,0,0,0.8,0,1
horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,10000000,0,0,16,143.875,143.625,0,0,0,0,0,0.803922,1
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php,10000000,0,0,12,214,223.75,0,0,0,0,0,0.811379,1
sontemeda.altervista.org/paypinoko/paypinoko/procesing.php,602,1,1,6,113.833333,110.5,0,0.001466,0,0.001475,0.8,0.759477,1
promusic.co/components/interbank.com/,10000000,1,0,3,58,48.333333,0,0,0,0,0.615385,0.563725,1
uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/,10000000,1,0,2,37.5,39.5,0,0,0,0,0,0.711111,1
docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,1,1,1,8,60.5,63.375,0.029663,0.032768,0.028835,0.031982,0.886969,0.682513,1
remax.com.behinehsazerooyesh.com/remax/index.htm,10000000,0,0,3,53.666667,44,0,0,0,0,0,0.583784,1
www.aclaydance.com/ncpf.php,10000000,0,0,1,437,460,0,0,0,0,0,0.853306,1
phamxuanlinh.tk/secure-code8/security/login.php,10000000,0,0,5,374,398.4,0,0,0,0,0,0.837298,1
stthomasedu.ucoz.ua/microsoft.htm,10000000,1,1,2,150.5,153,0,0.003195,0,0.003226,0.625,0.839394,1
